"position","full_name","display_name","total_score","score_display","movement","earnings","amateur","athlete_id","athlete_uid","tournament_name","event_id"
1,"Rory McIlroy","Rory McIlroy",277,"-11",0,NA,FALSE,"3470","s:1100~l:1106~a:3470","Masters Tournament","401703504"
2,"Justin Rose","Justin Rose",277,"-11",0,NA,FALSE,"569","s:1100~l:1106~a:569","Masters Tournament","401703504"
3,"Patrick Reed","Patrick Reed",279,"-9",0,NA,FALSE,"5579","s:1100~l:1106~a:5579","Masters Tournament","401703504"
4,"Scottie Scheffler","Scottie Scheffler",280,"-8",0,NA,FALSE,"9478","s:1100~l:1106~a:9478","Masters Tournament","401703504"
5,"Sungjae Im","Sungjae Im",281,"-7",0,NA,FALSE,"11382","s:1100~l:1106~a:11382","Masters Tournament","401703504"
6,"Bryson DeChambeau","Bryson DeChambeau",281,"-7",0,NA,FALSE,"10046","s:1100~l:1106~a:10046","Masters Tournament","401703504"
7,"Ludvig Åberg","Ludvig Åberg",282,"-6",0,NA,FALSE,"4375972","s:1100~l:1106~a:4375972","Masters Tournament","401703504"
8,"Zach Johnson","Zach Johnson",283,"-5",0,NA,FALSE,"686","s:1100~l:1106~a:686","Masters Tournament","401703504"
9,"Xander Schauffele","Xander Schauffele",283,"-5",0,NA,FALSE,"10140","s:1100~l:1106~a:10140","Masters Tournament","401703504"
10,"Jason Day","Jason Day",283,"-5",0,NA,FALSE,"1680","s:1100~l:1106~a:1680","Masters Tournament","401703504"
11,"Corey Conners","Corey Conners",283,"-5",0,NA,FALSE,"9126","s:1100~l:1106~a:9126","Masters Tournament","401703504"
12,"Harris English","Harris English",284,"-4",0,NA,FALSE,"5408","s:1100~l:1106~a:5408","Masters Tournament","401703504"
13,"Max Homa","Max Homa",284,"-4",0,NA,FALSE,"8973","s:1100~l:1106~a:8973","Masters Tournament","401703504"
14,"Bubba Watson","Bubba Watson",285,"-3",0,NA,FALSE,"780","s:1100~l:1106~a:780","Masters Tournament","401703504"
15,"Jon Rahm","Jon Rahm",285,"-3",0,NA,FALSE,"9780","s:1100~l:1106~a:9780","Masters Tournament","401703504"
16,"Jordan Spieth","Jordan Spieth",285,"-3",0,NA,FALSE,"5467","s:1100~l:1106~a:5467","Masters Tournament","401703504"
17,"Tom Hoge","Tom Hoge",285,"-3",0,NA,FALSE,"6086","s:1100~l:1106~a:6086","Masters Tournament","401703504"
18,"Tyrrell Hatton","Tyrrell Hatton",285,"-3",0,NA,FALSE,"5553","s:1100~l:1106~a:5553","Masters Tournament","401703504"
19,"Matt McCarty","Matt McCarty",285,"-3",0,NA,FALSE,"4901368","s:1100~l:1106~a:4901368","Masters Tournament","401703504"
20,"Collin Morikawa","Collin Morikawa",285,"-3",0,NA,FALSE,"10592","s:1100~l:1106~a:10592","Masters Tournament","401703504"
21,"Hideki Matsuyama","Hideki Matsuyama",286,"-2",0,NA,FALSE,"5860","s:1100~l:1106~a:5860","Masters Tournament","401703504"
22,"Daniel Berger","Daniel Berger",286,"-2",0,NA,FALSE,"9025","s:1100~l:1106~a:9025","Masters Tournament","401703504"
23,"Davis Riley","Davis Riley",286,"-2",0,NA,FALSE,"10058","s:1100~l:1106~a:10058","Masters Tournament","401703504"
24,"Tommy Fleetwood","Tommy Fleetwood",286,"-2",0,NA,FALSE,"5539","s:1100~l:1106~a:5539","Masters Tournament","401703504"
25,"Byeong Hun An","Byeong Hun An",286,"-2",0,NA,FALSE,"5285","s:1100~l:1106~a:5285","Masters Tournament","401703504"
26,"Viktor Hovland","Viktor Hovland",286,"-2",0,NA,FALSE,"4364873","s:1100~l:1106~a:4364873","Masters Tournament","401703504"
27,"Aaron Rai","Aaron Rai",287,"-1",0,NA,FALSE,"10906","s:1100~l:1106~a:10906","Masters Tournament","401703504"
28,"Michael Kim","Michael Kim",287,"-1",0,NA,FALSE,"8974","s:1100~l:1106~a:8974","Masters Tournament","401703504"
29,"Denny McCarthy","Denny McCarthy",288,"E",0,NA,FALSE,"10054","s:1100~l:1106~a:10054","Masters Tournament","401703504"
30,"Sahith Theegala","Sahith Theegala",288,"E",0,NA,FALSE,"10980","s:1100~l:1106~a:10980","Masters Tournament","401703504"
31,"Joaquín Niemann","Joaquín Niemann",288,"E",0,NA,FALSE,"11099","s:1100~l:1106~a:11099","Masters Tournament","401703504"
32,"Brian Campbell","Brian Campbell",289,"+1",0,NA,FALSE,"9525","s:1100~l:1106~a:9525","Masters Tournament","401703504"
33,"Maverick McNealy","Maverick McNealy",289,"+1",0,NA,FALSE,"9530","s:1100~l:1106~a:9530","Masters Tournament","401703504"
34,"Max Greyserman","Max Greyserman",289,"+1",0,NA,FALSE,"11101","s:1100~l:1106~a:11101","Masters Tournament","401703504"
35,"Rasmus Højgaard","Rasmus Højgaard",289,"+1",0,NA,FALSE,"11253","s:1100~l:1106~a:11253","Masters Tournament","401703504"
36,"Justin Thomas","Justin Thomas",290,"+2",0,NA,FALSE,"4848","s:1100~l:1106~a:4848","Masters Tournament","401703504"
37,"Patrick Cantlay","Patrick Cantlay",290,"+2",0,NA,FALSE,"6007","s:1100~l:1106~a:6007","Masters Tournament","401703504"
38,"Brian Harman","Brian Harman",290,"+2",0,NA,FALSE,"1225","s:1100~l:1106~a:1225","Masters Tournament","401703504"
39,"Charl Schwartzel","Charl Schwartzel",290,"+2",0,NA,FALSE,"1097","s:1100~l:1106~a:1097","Masters Tournament","401703504"
40,"Nick Taylor","Nick Taylor",291,"+3",0,NA,FALSE,"3792","s:1100~l:1106~a:3792","Masters Tournament","401703504"
41,"Matt Fitzpatrick","Matt Fitzpatrick",291,"+3",0,NA,FALSE,"9037","s:1100~l:1106~a:9037","Masters Tournament","401703504"
42,"Akshay Bhatia","Akshay Bhatia",292,"+4",0,NA,FALSE,"4419142","s:1100~l:1106~a:4419142","Masters Tournament","401703504"
43,"Danny Willett","Danny Willett",292,"+4",0,NA,FALSE,"4304","s:1100~l:1106~a:4304","Masters Tournament","401703504"
44,"J.T. Poston","J.T. Poston",292,"+4",0,NA,FALSE,"10505","s:1100~l:1106~a:10505","Masters Tournament","401703504"
45,"Shane Lowry","Shane Lowry",292,"+4",0,NA,FALSE,"4587","s:1100~l:1106~a:4587","Masters Tournament","401703504"
